FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,DOSIS_3
2021-02-18,30 o menos,F,Sputnik,Público nacional,44,6,0
2021-02-18,30 o menos,M,Sputnik,Privado,93,4,0
2021-02-18,30 o menos,M,Sputnik,Público,88,13,0
2021-02-18,30 o menos,M,Sputnik,Público nacional,17,2,0
2021-02-18,31 a 40,F,Sputnik,Privado,430,22,0
2021-02-18,31 a 40,F,Sputnik,Público,484,44,0
2021-02-18,31 a 40,F,Sputnik,Público nacional,73,6,0
2021-02-18,31 a 40,M,Sputnik,Privado,211,18,0
2021-02-18,31 a 40,M,Sputnik,Público,241,19,0
2021-02-18,31 a 40,M,Sputnik,Público nacional,36,4,0
2021-02-18,41 a 50,F,Sputnik,Privado,298,16,0
2021-02-18,41 a 50,F,Sputnik,Público,607,41,0
2021-02-18,41 a 50,F,Sputnik,Público nacional,63,7,0
2021-02-18,41 a 50,M,Sputnik,Privado,147,7,0
2021-02-18,41 a 50,M,Sputnik,Público,178,27,0
2021-02-18,41 a 50,M,Sputnik,Público nacional,21,4,0
2021-02-18,51 a 60,F,Sputnik,Privado,185,5,0
2021-02-18,51 a 60,F,Sputnik,Público,507,14,0
2021-02-18,51 a 60,F,Sputnik,Público nacional,70,4,0
2021-02-18,51 a 60,M,Sputnik,Privado,120,0,0
2021-02-18,51 a 60,M,Sputnik,Público,205,11,0
2021-02-18,51 a 60,M,Sputnik,Público nacional,25,5,0
2021-02-18,61 a 70,F,Sputnik,Privado,67,0,0
2021-02-18,61 a 70,F,Sputnik,Público,300,4,0
2021-02-18,61 a 70,F,Sputnik,Público nacional,24,0,0
2021-02-18,61 a 70,M,Sputnik,Privado,71,0,0
2021-02-18,61 a 70,M,Sputnik,Público,185,3,0
2021-02-18,61 a 70,M,Sputnik,Público nacional,12,0,0
2021-02-18,71 a 80,F,Sputnik,Privado,5,0,0
2021-02-18,71 a 80,F,Sputnik,Público,90,0,0
2021-02-18,71 a 80,M,Sputnik,Privado,15,0,0
2021-02-18,71 a 80,M,Sputnik,Público,63,0,0
2021-02-18,71 a 80,M,Sputnik,Público nacional,1,0,0
2021-02-18,81 a 90,F,Sputnik,Público,6,0,0
2021-02-18,81 a 90,M,Sputnik,Privado,3,0,0
2021-02-18,81 a 90,M,Sputnik,Público,16,0,0
2021-02-19,30 o menos,F,Sputnik,Privado,172,5,0
2021-02-19,30 o menos,F,Sputnik,Público,294,24,0
2021-02-19,30 o menos,F,Sputnik,Público nacional,38,6,0
2021-02-19,30 o menos,M,Sputnik,Privado,67,0,0
2021-01-20,51 a 60,M,Sputnik,Público nacional,5,0,0
2021-01-20,61 a 70,F,Sputnik,Privado,1,0,0
2021-01-20,61 a 70,F,Sputnik,Público,0,1,0
2021-01-21,30 o menos,F,Sputnik,Público,5,19,0
2021-01-21,30 o menos,F,Sputnik,Público nacional,6,0,0
2021-01-21,30 o menos,M,Sputnik,Privado,1,0,0
2021-01-21,30 o menos,M,Sputnik,Público,8,13,0
2021-01-21,30 o menos,M,Sputnik,Público nacional,1,0,0
2021-01-21,31 a 40,F,Sputnik,Privado,1,0,0
2021-01-21,31 a 40,F,Sputnik,Público,16,30,0
2021-01-21,31 a 40,F,Sputnik,Público nacional,6,0,0
2021-01-21,31 a 40,M,Sputnik,Público,2,35,0
2021-01-21,31 a 40,M,Sputnik,Público nacional,8,0,0
2021-01-21,41 a 50,F,Sputnik,Público,18,35,0
2021-01-21,41 a 50,F,Sputnik,Público nacional,11,0,0
2021-01-21,41 a 50,M,Sputnik,Público,8,23,0
2021-01-21,41 a 50,M,Sputnik,Público nacional,4,0,0
2021-01-21,51 a 60,F,Sputnik,Privado,1,0,0
2021-01-21,51 a 60,F,Sputnik,Público,13,22,0
2021-01-21,51 a 60,F,Sputnik,Público nacional,6,0,0
2021-01-21,51 a 60,M,Sputnik,Público,8,12,0
2021-01-21,51 a 60,M,Sputnik,Público nacional,2,0,0
2021-01-21,61 a 70,F,Sputnik,Público nacional,1,0,0
2021-01-21,61 a 70,M,Sputnik,Público,3,1,0
2021-01-21,61 a 70,M,Sputnik,Público nacional,1,0,0
2021-01-22,30 o menos,F,Sputnik,Público,3,7,0
2021-01-22,30 o menos,M,Sputnik,Público,1,5,0
2021-01-22,31 a 40,F,Sputnik,Público,3,12,0
2021-01-22,31 a 40,M,Sputnik,Público,1,12,0
2021-01-22,41 a 50,F,Sputnik,Público,3,14,0
2021-01-22,41 a 50,M,Sputnik,Público,3,10,0
2021-01-22,51 a 60,F,Sputnik,Público,3,5,0
2021-01-22,51 a 60,M,Sputnik,Público,1,1,0
2021-01-22,61 a 70,F,Sputnik,Público,0,1,0
2021-01-22,61 a 70,M,Sputnik,Público nacional,1,0,0
2021-01-23,30 o menos,F,Sputnik,Público,3,18,0
2021-01-23,30 o menos,M,Sputnik,Público,1,9,0
2021-01-23,31 a 40,F,Sputnik,Público,14,64,0
2021-01-23,31 a 40,M,Sputnik,Público,3,42,0
2021-01-23,41 a 50,F,Sputnik,Público,11,50,0
2021-01-23,41 a 50,M,Sputnik,Público,4,35,0
2021-01-23,51 a 60,F,Sputnik,Público,2,37,0
2021-01-23,51 a 60,M,Sputnik,Público,4,18,0
2021-01-23,61 a 70,M,Sputnik,Público,1,1,0
2021-01-24,30 o menos,F,Sputnik,Público,3,6,0
2021-01-24,30 o menos,M,Sputnik,Público,1,4,0
2021-01-24,31 a 40,F,Sputnik,Público,6,31,0
2021-01-24,31 a 40,M,Sputnik,Público,1,19,0
2021-01-24,41 a 50,F,Sputnik,Privado,1,0,0
2021-01-24,41 a 50,F,Sputnik,Público,1,23,0
2021-01-24,41 a 50,F,Sputnik,Público nacional,1,0,0
2021-01-24,41 a 50,M,Sputnik,Público,1,10,0
2021-01-24,51 a 60,F,Sputnik,Público,3,13,0
2021-01-24,51 a 60,M,Sputnik,Público,2,6,0
2021-01-25,30 o menos,F,Sputnik,Privado,2,8,0
2021-01-25,30 o menos,F,Sputnik,Público,13,56,0
2021-01-25,30 o menos,F,Sputnik,Público nacional,1,2,0
2021-01-25,30 o menos,M,Sputnik,Privado,0,5,0
2021-01-25,30 o menos,M,Sputnik,Público,5,35,0
2021-01-25,31 a 40,F,Sputnik,Privado,0,15,0
2021-01-25,31 a 40,F,Sputnik,Público,13,118,0
2021-01-25,31 a 40,F,Sputnik,Público nacional,0,4,0
2021-01-25,31 a 40,M,Sputnik,Privado,0,8,0
2021-01-25,31 a 40,M,Sputnik,Público,11,63,0
2021-01-25,31 a 40,M,Sputnik,Público nacional,0,3,0
2021-01-25,41 a 50,F,Sputnik,Privado,0,8,0
2021-01-25,41 a 50,F,Sputnik,Público,17,115,0
2021-01-25,41 a 50,F,Sputnik,Público nacional,3,1,0
2021-01-25,41 a 50,M,Sputnik,Privado,0,3,0
2021-01-25,41 a 50,M,Sputnik,Público,9,65,0
2021-01-25,41 a 50,M,Sputnik,Público nacional,1,3,0
2021-01-25,51 a 60,F,Sputnik,Privado,0,4,0
2021-01-25,51 a 60,F,Sputnik,Público,12,75,0
2021-01-25,51 a 60,F,Sputnik,Público nacional,1,1,0
2021-01-25,51 a 60,M,Sputnik,Privado,0,2,0
2021-01-25,51 a 60,M,Sputnik,Público,5,59,0
2021-01-25,51 a 60,M,Sputnik,Público nacional,3,1,0
2021-01-25,61 a 70,F,Sputnik,Público,1,1,0
2021-01-25,61 a 70,M,Sputnik,Privado,0,1,0
2021-01-25,61 a 70,M,Sputnik,Público,0,1,0
2021-01-26,30 o menos,F,Sputnik,Privado,1,11,0
2021-01-26,30 o menos,F,Sputnik,Público,10,78,0
2021-01-26,30 o menos,F,Sputnik,Público nacional,0,9,0
2021-01-26,30 o menos,M,Sputnik,Privado,0,2,0
2021-01-26,30 o menos,M,Sputnik,Público,4,34,0
2021-01-26,30 o menos,M,Sputnik,Público nacional,2,2,0
2021-01-26,31 a 40,F,Sputnik,Privado,1,22,0
2021-01-26,31 a 40,F,Sputnik,Público,27,125,0
2021-01-26,31 a 40,F,Sputnik,Público nacional,2,15,0
2021-01-26,31 a 40,M,Sputnik,Privado,1,16,0
2021-01-26,31 a 40,M,Sputnik,Público,18,103,0
2021-01-26,31 a 40,M,Sputnik,Público nacional,3,6,0
2021-01-26,41 a 50,F,Sputnik,Privado,2,19,0
2021-01-26,41 a 50,F,Sputnik,Público,28,142,0
2021-01-26,41 a 50,F,Sputnik,Público nacional,7,22,0
2021-01-26,41 a 50,M,Sputnik,Privado,1,4,0
2021-01-26,41 a 50,M,Sputnik,Público,7,88,0
2021-01-26,41 a 50,M,Sputnik,Público nacional,2,7,0
2021-01-26,51 a 60,F,Sputnik,Privado,0,6,0
2021-01-26,51 a 60,F,Sputnik,Público,18,102,0
2021-01-26,51 a 60,F,Sputnik,Público nacional,3,13,0
2021-01-26,51 a 60,M,Sputnik,Público,9,61,0
2021-01-26,51 a 60,M,Sputnik,Público nacional,6,6,0
2021-01-26,61 a 70,F,Sputnik,Público,0,4,0
2021-01-26,61 a 70,M,Sputnik,Privado,1,0,0
2021-01-26,61 a 70,M,Sputnik,Público,1,2,0
2021-01-27,30 o menos,F,Sputnik,Privado,0,1,0
2021-01-27,30 o menos,F,Sputnik,Público,15,94,0
2021-01-27,30 o menos,F,Sputnik,Público nacional,0,6,0
2021-01-27,30 o menos,M,Sputnik,Privado,1,3,0
2021-01-27,30 o menos,M,Sputnik,Público,5,60,0
2021-01-27,30 o menos,M,Sputnik,Público nacional,0,6,0
2021-01-27,31 a 40,F,Sputnik,Privado,1,8,0
2021-01-27,31 a 40,F,Sputnik,Público,20,154,0
2021-01-27,31 a 40,F,Sputnik,Público nacional,0,14,0
2021-01-27,31 a 40,M,Sputnik,Privado,0,14,0
2021-01-27,31 a 40,M,Sputnik,Público,14,131,0
2021-01-27,31 a 40,M,Sputnik,Público nacional,0,11,0
2021-01-27,41 a 50,F,Sputnik,Privado,0,14,0
2021-01-27,41 a 50,F,Sputnik,Público,25,150,0
2021-01-27,41 a 50,F,Sputnik,Público nacional,1,5,0
2021-01-27,41 a 50,M,Sputnik,Privado,0,10,0
2021-01-27,41 a 50,M,Sputnik,Público,11,86,0
2021-01-27,41 a 50,M,Sputnik,Público nacional,1,10,0
2021-01-27,51 a 60,F,Sputnik,Privado,0,2,0
2021-01-27,51 a 60,F,Sputnik,Público,16,133,0
2021-01-27,51 a 60,F,Sputnik,Público nacional,0,3,0
2021-01-27,51 a 60,M,Sputnik,Privado,0,5,0
2021-01-27,51 a 60,M,Sputnik,Público,8,64,0
2021-01-27,51 a 60,M,Sputnik,Público nacional,0,5,0
2021-01-27,61 a 70,F,Sputnik,Público,0,1,0
2021-01-27,61 a 70,M,Sputnik,Público,2,0,0
2021-01-28,30 o menos,F,Sputnik,Privado,0,9,0
2021-01-28,30 o menos,F,Sputnik,Público,8,120,0
2021-01-28,30 o menos,F,Sputnik,Público nacional,0,7,0
2021-01-28,30 o menos,M,Sputnik,Privado,0,6,0
2021-01-28,30 o menos,M,Sputnik,Público,4,64,0
2021-01-28,30 o menos,M,Sputnik,Público nacional,0,2,0
2021-01-28,31 a 40,F,Sputnik,Privado,0,21,0
2021-01-28,31 a 40,F,Sputnik,Público,27,214,0
2021-01-28,31 a 40,F,Sputnik,Público nacional,0,9,0
2021-01-28,31 a 40,M,Sputnik,Privado,0,16,0
2021-01-28,31 a 40,M,Sputnik,Público,20,108,0
2021-01-28,31 a 40,M,Sputnik,Público nacional,0,8,0
2021-01-28,41 a 50,F,Sputnik,Privado,0,14,0
2021-01-28,41 a 50,F,Sputnik,Público,23,182,0
2021-01-28,41 a 50,F,Sputnik,Público nacional,0,6,0
2021-01-28,41 a 50,M,Sputnik,Privado,1,9,0
2021-01-28,41 a 50,M,Sputnik,Público,8,104,0
2021-01-28,41 a 50,M,Sputnik,Público nacional,1,5,0
2021-01-28,51 a 60,F,Sputnik,Privado,0,5,0
2021-01-28,51 a 60,F,Sputnik,Público,22,131,0
2021-01-28,51 a 60,F,Sputnik,Público nacional,0,4,0
2021-01-28,51 a 60,M,Sputnik,Privado,0,2,0
2021-01-28,51 a 60,M,Sputnik,Público,5,92,0
2021-01-28,51 a 60,M,Sputnik,Público nacional,0,4,0
2021-01-28,61 a 70,M,Sputnik,Público,1,0,0
2021-01-29,30 o menos,F,Sputnik,Privado,0,31,0
2021-01-29,30 o menos,F,Sputnik,Público,4,142,0
2021-01-29,30 o menos,F,Sputnik,Público nacional,0,11,0
2021-01-29,30 o menos,M,Sputnik,Privado,0,22,0
2021-01-29,30 o menos,M,Sputnik,Público,1,75,0
2021-01-29,30 o menos,M,Sputnik,Público nacional,0,5,0
2021-01-29,31 a 40,F,Sputnik,Privado,3,40,0
2021-01-29,31 a 40,F,Sputnik,Público,10,302,0
2021-01-29,31 a 40,F,Sputnik,Público nacional,0,20,0
2021-01-29,31 a 40,M,Sputnik,Privado,3,49,0
2021-01-29,31 a 40,M,Sputnik,Público,4,168,0
2021-01-29,31 a 40,M,Sputnik,Público nacional,0,17,0
2021-01-29,41 a 50,F,Sputnik,Privado,0,32,0
2021-01-29,41 a 50,F,Sputnik,Público,15,251,0
2021-01-29,41 a 50,F,Sputnik,Público nacional,0,9,0
2021-01-29,41 a 50,M,Sputnik,Privado,1,22,0
2021-01-29,41 a 50,M,Sputnik,Público,3,150,0
2021-01-29,41 a 50,M,Sputnik,Público nacional,0,7,0
2021-01-29,51 a 60,F,Sputnik,Privado,0,13,0
2021-01-29,51 a 60,F,Sputnik,Público,11,152,0
2021-01-29,51 a 60,F,Sputnik,Público nacional,0,11,0
2021-01-29,51 a 60,M,Sputnik,Privado,3,13,0
2021-01-29,51 a 60,M,Sputnik,Público,4,81,0
2021-01-29,51 a 60,M,Sputnik,Público nacional,0,3,0
2021-01-29,61 a 70,F,Sputnik,Privado,0,1,0
2021-01-29,61 a 70,F,Sputnik,Público,0,3,0
2021-01-29,61 a 70,M,Sputnik,Público,1,3,0
2021-01-29,61 a 70,M,Sputnik,Público nacional,0,1,0
2021-01-30,30 o menos,F,Sputnik,Privado,0,4,0
2021-01-30,30 o menos,F,Sputnik,Público,1,24,0
2021-01-30,30 o menos,F,Sputnik,Público nacional,0,10,0
2021-01-30,30 o menos,M,Sputnik,Público,0,19,0
2021-01-30,30 o menos,M,Sputnik,Público nacional,0,1,0
2021-01-30,31 a 40,F,Sputnik,Privado,0,2,0
2021-01-30,31 a 40,F,Sputnik,Público,1,89,0
2021-01-30,31 a 40,F,Sputnik,Público nacional,0,12,0
2021-01-30,31 a 40,M,Sputnik,Privado,0,5,0
2021-01-30,31 a 40,M,Sputnik,Público,1,49,0
2021-01-30,31 a 40,M,Sputnik,Público nacional,0,4,0
2021-01-30,41 a 50,F,Sputnik,Privado,0,3,0
2021-01-30,41 a 50,F,Sputnik,Público,3,62,0
2021-01-30,41 a 50,F,Sputnik,Público nacional,0,9,0
2021-01-30,41 a 50,M,Sputnik,Privado,0,1,0
2021-01-30,41 a 50,M,Sputnik,Público,0,38,0
2021-01-30,41 a 50,M,Sputnik,Público nacional,0,6,0
2021-01-30,51 a 60,F,Sputnik,Privado,0,1,0
2021-01-30,51 a 60,F,Sputnik,Público,0,36,0
2021-01-30,51 a 60,F,Sputnik,Público nacional,0,3,0
2021-01-30,51 a 60,M,Sputnik,Público,0,28,0
2021-01-30,51 a 60,M,Sputnik,Público nacional,0,1,0
2021-01-31,30 o menos,F,Sputnik,Privado,0,3,0
2021-01-31,30 o menos,F,Sputnik,Público,0,30,0
2021-01-31,30 o menos,M,Sputnik,Privado,0,3,0
2021-01-31,30 o menos,M,Sputnik,Público,1,20,0
2021-01-31,31 a 40,F,Sputnik,Privado,0,13,0
2021-01-31,31 a 40,F,Sputnik,Público,0,80,0
2021-01-31,31 a 40,M,Sputnik,Privado,0,6,0
2021-01-31,31 a 40,M,Sputnik,Público,0,36,0
2021-01-31,41 a 50,F,Sputnik,Privado,0,4,0
2021-01-31,41 a 50,F,Sputnik,Público,0,56,0
2021-01-31,41 a 50,M,Sputnik,Privado,0,4,0
2021-01-31,41 a 50,M,Sputnik,Público,0,28,0
2021-01-31,51 a 60,F,Sputnik,Público,0,39,0
2021-01-31,51 a 60,M,Sputnik,Privado,0,1,0
2021-01-31,51 a 60,M,Sputnik,Público,0,18,0
2021-01-31,61 a 70,M,Sputnik,Público,0,1,0
2021-02-01,30 o menos,F,Sputnik,Privado,0,32,0
2021-02-01,30 o menos,F,Sputnik,Público,1,127,0
2021-02-01,30 o menos,F,Sputnik,Público nacional,0,16,0
2021-02-01,30 o menos,M,Sputnik,Privado,0,15,0
2021-02-01,30 o menos,M,Sputnik,Público,0,67,0
2021-02-01,30 o menos,M,Sputnik,Público nacional,0,9,0
2021-02-01,31 a 40,F,Sputnik,Privado,0,62,0
2021-02-01,31 a 40,F,Sputnik,Público,0,247,0
2021-02-01,31 a 40,F,Sputnik,Público nacional,0,23,0
2021-02-01,31 a 40,M,Sputnik,Privado,0,46,0
2021-02-01,31 a 40,M,Sputnik,Público,0,164,0
2021-02-01,31 a 40,M,Sputnik,Público nacional,0,15,0
2021-02-01,41 a 50,F,Sputnik,Privado,0,27,0
2021-02-01,41 a 50,F,Sputnik,Público,0,215,0
2021-02-01,41 a 50,F,Sputnik,Público nacional,0,13,0
2021-02-01,41 a 50,M,Sputnik,Privado,0,28,0
2021-02-01,41 a 50,M,Sputnik,Público,0,117,0
2021-02-01,41 a 50,M,Sputnik,Público nacional,0,5,0
2021-02-01,51 a 60,F,Sputnik,Privado,0,13,0
2021-02-01,51 a 60,F,Sputnik,Público,1,157,0
2021-02-01,51 a 60,F,Sputnik,Público nacional,0,7,0
2021-02-01,51 a 60,M,Sputnik,Privado,0,11,0
2021-02-01,51 a 60,M,Sputnik,Público,0,64,0
2021-02-01,51 a 60,M,Sputnik,Público nacional,0,5,0
2021-02-01,61 a 70,F,Sputnik,Privado,0,1,0
2021-02-01,61 a 70,F,Sputnik,Público,2,3,0
2021-02-01,61 a 70,M,Sputnik,Privado,0,1,0
2021-02-02,30 o menos,F,Sputnik,Privado,8,12,0
2021-02-02,30 o menos,F,Sputnik,Público,59,148,0
2021-02-02,30 o menos,F,Sputnik,Público nacional,5,12,0
2021-02-02,30 o menos,M,Sputnik,Privado,3,10,0
2021-02-02,30 o menos,M,Sputnik,Público,21,70,0
2021-02-02,30 o menos,M,Sputnik,Público nacional,1,8,0
2021-02-02,31 a 40,F,Sputnik,Privado,18,37,0
2021-02-02,31 a 40,F,Sputnik,Público,137,234,0
2021-02-02,31 a 40,F,Sputnik,Público nacional,9,30,0
2021-02-02,31 a 40,M,Sputnik,Privado,19,35,0
2021-02-02,31 a 40,M,Sputnik,Público,67,145,0
2021-02-02,31 a 40,M,Sputnik,Público nacional,4,20,0
2021-02-02,41 a 50,F,Sputnik,Privado,19,29,0
2021-02-02,41 a 50,F,Sputnik,Público,149,217,0
2021-02-02,41 a 50,F,Sputnik,Público nacional,15,10,0
2021-02-02,41 a 50,M,Sputnik,Privado,5,19,0
2021-02-02,41 a 50,M,Sputnik,Público,65,98,0
2021-02-02,41 a 50,M,Sputnik,Público nacional,6,13,0
2021-02-02,51 a 60,F,Sputnik,Privado,11,11,0
2021-02-02,51 a 60,F,Sputnik,Público,228,184,0
2021-02-02,51 a 60,F,Sputnik,Público nacional,14,14,0
2021-02-02,51 a 60,M,Sputnik,Privado,6,5,0
2021-02-02,51 a 60,M,Sputnik,Público,109,93,0
2021-02-02,51 a 60,M,Sputnik,Público nacional,5,6,0
2021-02-02,61 a 70,F,Sputnik,Privado,2,0,0
2021-02-02,61 a 70,F,Sputnik,Público,338,0,0
2021-02-02,61 a 70,F,Sputnik,Público nacional,24,0,0
2021-02-02,61 a 70,M,Sputnik,Privado,7,0,0
2021-02-02,61 a 70,M,Sputnik,Público,276,0,0
2021-02-02,61 a 70,M,Sputnik,Público nacional,22,1,0
2021-02-02,71 a 80,F,Sputnik,Público,29,0,0
2021-02-02,71 a 80,M,Sputnik,Privado,2,0,0
2021-02-02,71 a 80,M,Sputnik,Público,32,0,0
2021-02-02,71 a 80,M,Sputnik,Público nacional,2,0,0
2021-02-02,81 a 90,F,Sputnik,Público,2,0,0
2021-02-02,81 a 90,M,Sputnik,Público,5,0,0
2021-02-02,91 o mas,M,Sputnik,Público,1,0,0
2021-02-03,30 o menos,F,Sputnik,Privado,60,22,0
2021-02-03,30 o menos,F,Sputnik,Público,93,116,0
2021-02-03,30 o menos,F,Sputnik,Público nacional,13,23,0
2021-02-03,30 o menos,M,Sputnik,Privado,31,15,0
2021-02-03,30 o menos,M,Sputnik,Público,30,50,0
2021-02-03,30 o menos,M,Sputnik,Público nacional,3,9,0
2021-02-03,31 a 40,F,Sputnik,Privado,105,61,0
2021-02-03,31 a 40,F,Sputnik,Público,220,186,0
2021-02-03,31 a 40,F,Sputnik,Público nacional,26,21,0
2021-02-03,31 a 40,M,Sputnik,Privado,69,38,0
2021-02-03,31 a 40,M,Sputnik,Público,89,103,0
2021-02-03,31 a 40,M,Sputnik,Público nacional,13,11,0
2021-02-03,41 a 50,F,Sputnik,Privado,75,28,0
2021-02-03,41 a 50,F,Sputnik,Público,249,151,0
2021-02-03,41 a 50,F,Sputnik,Público nacional,24,20,0
2021-02-03,41 a 50,M,Sputnik,Privado,22,19,0
2021-02-03,41 a 50,M,Sputnik,Público,101,87,0
2021-02-03,41 a 50,M,Sputnik,Público nacional,13,10,0
2021-02-03,51 a 60,F,Sputnik,Privado,34,17,0
2021-02-03,51 a 60,F,Sputnik,Público,266,115,0
2021-02-03,51 a 60,F,Sputnik,Público nacional,26,16,0
2021-02-03,51 a 60,M,Sputnik,Privado,25,9,0
2021-02-03,51 a 60,M,Sputnik,Público,106,88,0
2021-02-03,51 a 60,M,Sputnik,Público nacional,12,7,0
2021-02-03,61 a 70,F,Sputnik,Privado,14,0,0
